L,observable,x,mean_value,fit_window
128,B(r),1,3.006988065706586,0
128,B(r),2,11.274395402416369,1
128,B(r),3,24.293464081242636,1
128,B(r),4,41.6621687584362,1
128,B(r),5,63.00361518475801,1
128,B(r),6,88.01242667142766,1
128,B(r),7,116.45895718435526,1
128,B(r),8,148.05765955105687,1
128,B(r),9,182.45896939911813,0
128,B(r),10,219.36798124764047,0
128,B(r),11,258.57988592698644,0
128,B(r),12,299.8728805458102,0
128,B(r),13,343.0903311709665,0
128,B(r),14,388.07434476518114,0
128,B(r),15,434.6381956298889,0
128,B(r),16,482.64232983278833,0
128,B(r),17,531.9801542211335,0
128,B(r),18,582.5410397315899,0
128,B(r),19,634.1407394942178,0
128,B(r),20,686.6136642960274,0
128,B(r),21,739.8267509280416,0
128,B(r),22,793.6723504454541,0
128,B(r),23,848.0043926624771,0
128,B(r),24,902.7822031307951,0
128,B(r),25,957.9729416553138,0
128,B(r),26,1013.477564140775,0
128,B(r),27,1069.2071755514041,0
128,B(r),28,1125.1103641687835,0
128,B(r),29,1181.0900619416577,0
128,B(r),30,1237.0654551588752,0
128,B(r),31,1292.9158549546316,0
128,B(r),32,1348.4956866305438,0
128,S(q),0.04908738521234052,37908.536198933034,0
128,S(q),0.09817477042468103,2028.6522749858434,0
128,S(q),0.14726215563702155,837.3360054030492,0
128,S(q),0.19634954084936207,232.50193339059948,1
128,S(q),0.2454369260617026,193.25324210656632,1
128,S(q),0.2945243112740431,26.3151401150072,1
128,S(q),0.3436116964863836,37.937155689106326,1
128,S(q),0.39269908169872414,30.74315349009501,1
128,S(q),0.44178646691106466,8.437828707977895,1
128,S(q),0.4908738521234052,12.329248593928305,1
128,S(q),0.5399612373357456,4.548340908587603,1
128,S(q),0.5890486225480862,2.9864204999697352,1
128,S(q),0.6381360077604268,2.723938803284072,1
128,S(q),0.6872233929727672,2.9921124177971135,1
128,S(q),0.7363107781851077,3.4842339996673446,1
128,S(q),0.7853981633974483,1.5014927456616896,1
128,S(q),0.8344855486097889,1.6283668592938636,0
128,S(q),0.8835729338221293,1.709847175070787,0
128,S(q),0.9326603190344698,0.8955821915082041,0
128,S(q),0.9817477042468103,1.319528250609127,0
128,S(q),1.030835089459151,0.6859300726465274,0
128,S(q),1.0799224746714913,1.2096706761735752,0
128,S(q),1.1290098598838318,0.67983949742197,0
128,S(q),1.1780972450961724,0.3074533007278861,0
128,S(q),1.227184630308513,0.3848655175851097,0
128,S(q),1.2762720155208536,0.3873308087293624,0
128,S(q),1.325359400733194,0.1668659219611216,0
128,S(q),1.3744467859455345,0.20699950299452863,0
128,S(q),1.423534171157875,0.20022560449315008,0
128,S(q),1.4726215563702154,0.13317065718607846,0
128,S(q),1.521708941582556,0.32541424865103225,0
128,S(q),1.5707963267948966,0.1921672468307569,0
128,S(q),1.6198837120072371,0.16195651473547854,0
128,S(q),1.6689710972195777,0.05962517762451225,0
128,S(q),1.718058482431918,0.19314920421668905,0
128,S(q),1.7671458676442586,0.12297864193574158,0
128,S(q),1.8162332528565992,0.18188257686654566,0
128,S(q),1.8653206380689396,0.2288348215759585,0
128,S(q),1.9144080232812801,0.19322626914211571,0
128,S(q),1.9634954084936207,0.10301745952742282,0
128,S(q),2.012582793705961,0.10234699449728925,0
128,S(q),2.061670178918302,0.11022864597707771,0
128,S(q),2.110757564130642,0.1648994215672259,0
128,S(q),2.1598449493429825,0.08036621256100132,0
128,S(q),2.2089323345553233,0.035778259906123766,0
128,S(q),2.2580197197676637,0.08292595409461267,0
128,S(q),2.3071071049800045,0.0881659501466926,0
128,S(q),2.356194490192345,0.056208563332800054,0
128,S(q),2.405281875404685,0.08430997932555262,0
128,S(q),2.454369260617026,0.09937586991730353,0
128,S(q),2.5034566458293663,0.04390787886629205,0
128,S(q),2.552544031041707,0.08779451906950557,0
128,S(q),2.6016314162540475,0.06530369382688456,0
128,S(q),2.650718801466388,0.07690729269031026,0
128,S(q),2.6998061866787286,0.055169682912539146,0
128,S(q),2.748893571891069,0.05575119873152459,0
128,S(q),2.7979809571034093,0.05191149928628658,0
128,S(q),2.84706834231575,0.03322184154105843,0
128,S(q),2.8961557275280905,0.07918754672932064,0
128,S(q),2.945243112740431,0.04335396847772438,0
128,S(q),2.9943304979527716,0.05885250027428643,0
128,S(q),3.043417883165112,0.09115755182789186,0
128,S(q),3.0925052683774528,0.055744570292408785,0
128,S(q),3.141592653589793,0.025801425405337485,0
256,B(r),1,5.200986014911264,0
256,B(r),2,19.95789878932849,1
256,B(r),3,43.58026498395259,1
256,B(r),4,75.50163460036988,1
256,B(r),5,115.26220690686995,1
256,B(r),6,162.44703296914105,1
256,B(r),7,216.6656261472469,1
256,B(r),8,277.5978820139657,1
256,B(r),9,344.97361338005175,0
256,B(r),10,418.55002089466797,0
256,B(r),11,498.02293321124654,0
256,B(r),12,583.0739427798305,0
256,B(r),13,673.401570210824,0
256,B(r),14,768.7690569642059,0
256,B(r),15,868.8954871857251,0
256,B(r),16,973.4725235813954,0
256,B(r),17,1082.2362843867318,0
256,B(r),18,1194.9678683052905,0
256,B(r),19,1311.4590571236795,0
256,B(r),20,1431.4905573216126,0
256,B(r),21,1554.833544405973,0
256,B(r),22,1681.2889983950188,0
256,B(r),23,1810.722220881038,0
256,B(r),24,1942.9383030566435,0
256,B(r),25,2077.694735123576,0
256,B(r),26,2214.7851660444317,0
256,B(r),27,2354.100908961314,0
256,B(r),28,2495.524005643824,0
256,B(r),29,2638.963114430585,0
256,B(r),30,2784.284019666184,0
256,B(r),31,2931.300650830826,0
256,B(r),32,3079.907451981607,0
256,B(r),33,3229.97553139326,0
256,B(r),34,3381.379653858299,0
256,B(r),35,3534.025877769452,0
256,B(r),36,3687.835140620085,0
256,B(r),37,3842.7156228762055,0
256,B(r),38,3998.5722631252975,0
256,B(r),39,4155.241369028713,0
256,B(r),40,4312.579757216431,0
256,B(r),41,4470.469992463503,0
256,B(r),42,4628.834067611072,0
256,B(r),43,4787.599574184881,0
256,B(r),44,4946.731138983074,0
256,B(r),45,5106.17632252791,0
256,B(r),46,5265.841399640375,0
256,B(r),47,5425.64682764754,0
256,B(r),48,5585.514460653306,0
256,B(r),49,5745.355861678196,0
256,B(r),50,5905.068548673701,0
256,B(r),51,6064.577331878719,0
256,B(r),52,6223.796501802087,0
256,B(r),53,6382.631579643384,0
256,B(r),54,6540.949231728496,0
256,B(r),55,6698.69211996381,0
256,B(r),56,6855.75130572206,0
256,B(r),57,7012.032626572433,0
256,B(r),58,7167.507800433985,0
256,B(r),59,7322.163838171732,0
256,B(r),60,7475.936002512447,0
256,B(r),61,7628.756803382985,0
256,B(r),62,7780.576497059908,0
256,B(r),63,7931.300086935708,0
256,B(r),64,8080.861332505323,0
256,S(q),0.02454369260617026,415206.70595920616,0
256,S(q),0.04908738521234052,42842.9074261137,0
256,S(q),0.07363107781851078,10710.499571918173,0
256,S(q),0.09817477042468103,5034.972675604687,0
256,S(q),0.1227184630308513,1046.3725660328616,0
256,S(q),0.14726215563702155,1628.269260358353,0
256,S(q),0.1718058482431918,332.88192566742515,0
256,S(q),0.19634954084936207,275.2039022978466,1
256,S(q),0.22089323345553233,240.03995065166293,1
256,S(q),0.2454369260617026,134.16157365189585,1
256,S(q),0.2699806186678728,93.12787583055183,1
256,S(q),0.2945243112740431,33.71317363529138,1
256,S(q),0.3190680038802134,89.14985811290286,1
256,S(q),0.3436116964863836,28.855990976646666,1
256,S(q),0.36815538909255385,17.62663010324553,1
256,S(q),0.39269908169872414,44.21942530921657,1
256,S(q),0.4172427743048944,26.15415627718973,1
256,S(q),0.44178646691106466,12.504368004834545,1
256,S(q),0.4663301595172349,11.22267038037078,1
256,S(q),0.4908738521234052,14.722250649196546,1
256,S(q),0.5154175447295755,15.636998172265448,1
256,S(q),0.5399612373357456,8.15540596182997,1
256,S(q),0.5645049299419159,9.951990548148675,1
256,S(q),0.5890486225480862,6.525101216871339,1
256,S(q),0.6135923151542565,8.815378696254157,1
256,S(q),0.6381360077604268,3.372203946985706,1
256,S(q),0.662679700366597,6.649503086231655,1
256,S(q),0.6872233929727672,4.722035656636193,1
256,S(q),0.7117670855789375,4.1514338617799975,1
256,S(q),0.7363107781851077,2.568404103046619,1
