L,M,seed,fc_lo,fc_hi,fc_mid,wall_span_over_period
128,2048,20269128,0.7970703125,0.798046875,0.79755859375,0.1930609227464964
128,2048,20269129,0.81171875,0.8126953125,0.81220703125,0.19962895694449667
128,2048,20269130,0.7970703125,0.798046875,0.79755859375,0.1107945557978055
128,2048,20269131,0.801953125,0.8029296875,0.80244140625,0.12015123825444618
128,2048,20269132,0.8,0.8009765625,0.80048828125,0.14779770755792576
128,2048,20269133,0.8244140625,0.825390625,0.82490234375,0.1537344797354332
256,4096,20269256,0.815625,0.8166015625,0.81611328125,0.11760158607287852
256,4096,20269257,0.8341796875,0.83515625,0.83466796875,0.28329573190874063
256,4096,20269258,0.8166015625,0.817578125,0.81708984375,0.08237278907901369
256,4096,20269259,0.8185546875,0.81953125,0.81904296875,0.2668521716457286
256,4096,20269260,0.8263671875,0.82734375,0.82685546875,0.1356115491608545
256,4096,20269261,0.841015625,0.8419921875,0.84150390625,0.11900556763879672
