L,M,seed,fc_lo,fc_hi,fc_mid
32,320,20271101,0.821484375,0.8234375,0.8224609375
32,320,20271102,0.895703125,0.89765625,0.8966796875
32,320,20271103,0.753125,0.755078125,0.7541015625
32,320,20271104,0.8546875,0.856640625,0.8556640625
32,320,20271105,0.83125,0.833203125,0.8322265625
32,320,20271106,0.7765625,0.778515625,0.7775390625
32,320,20271107,0.8078125,0.809765625,0.8087890625
32,320,20271108,0.78828125,0.790234375,0.7892578125
64,736,20271101,0.78828125,0.790234375,0.7892578125
64,736,20271102,0.8546875,0.856640625,0.8556640625
64,736,20271103,0.7921875,0.794140625,0.7931640625
64,736,20271104,0.805859375,0.8078125,0.8068359375
64,736,20271105,0.817578125,0.81953125,0.8185546875
64,736,20271106,0.77265625,0.774609375,0.7736328125
64,736,20271107,0.846875,0.848828125,0.8478515625
64,736,20271108,0.87421875,0.876171875,0.8751953125
128,1728,20271101,0.872265625,0.87421875,0.8732421875
128,1728,20271102,0.837109375,0.8390625,0.8380859375
128,1728,20271103,0.833203125,0.83515625,0.8341796875
128,1728,20271104,0.813671875,0.815625,0.8146484375
128,1728,20271105,0.76875,0.770703125,0.7697265625
128,1728,20271106,0.778515625,0.78046875,0.7794921875
128,1728,20271107,0.813671875,0.815625,0.8146484375
128,1728,20271108,0.821484375,0.8234375,0.8224609375
256,4096,20271101,0.82734375,0.829296875,0.8283203125
256,4096,20271102,0.82734375,0.829296875,0.8283203125
256,4096,20271103,0.817578125,0.81953125,0.8185546875
256,4096,20271104,0.837109375,0.8390625,0.8380859375
256,4096,20271105,0.8,0.801953125,0.8009765625
256,4096,20271106,0.817578125,0.81953125,0.8185546875
256,4096,20271107,0.813671875,0.815625,0.8146484375
256,4096,20271108,0.78828125,0.790234375,0.7892578125
32,320,20271109,0.940625,0.942578125,0.9416015625
32,320,20271110,0.899609375,0.9015625,0.9005859375
32,320,20271111,0.7609375,0.762890625,0.7619140625
32,320,20271112,0.821484375,0.8234375,0.8224609375
32,320,20271113,0.946484375,0.9484375,0.9474609375
32,320,20271114,0.821484375,0.8234375,0.8224609375
32,320,20271115,0.786328125,0.78828125,0.7873046875
32,320,20271116,0.782421875,0.784375,0.7833984375
32,320,20271117,0.778515625,0.78046875,0.7794921875
32,320,20271118,0.925,0.926953125,0.9259765625
32,320,20271119,0.83125,0.833203125,0.8322265625
32,320,20271120,0.79609375,0.798046875,0.7970703125
32,320,20271121,0.778515625,0.78046875,0.7794921875
32,320,20271122,0.8,0.801953125,0.8009765625
32,320,20271123,0.735546875,0.7375,0.7365234375
32,320,20271124,0.829296875,0.83125,0.8302734375
64,736,20271109,0.841015625,0.84296875,0.8419921875
64,736,20271110,0.774609375,0.7765625,0.7755859375
64,736,20271111,0.821484375,0.8234375,0.8224609375
64,736,20271112,0.825390625,0.82734375,0.8263671875
64,736,20271113,0.8234375,0.825390625,0.8244140625
